Product,"Price gross",Date
"Fyringsolie Premium 10ppm","9441,00",2015-01-02
"Fyringsolie Premium 10ppm","9371,00",2015-01-03
"Fyringsolie Premium 10ppm","9371,00",2015-01-04
"Fyringsolie Premium 10ppm","9371,00",2015-01-05
"Fyringsolie Premium 10ppm","9371,00",2015-01-06
"Fyringsolie Premium 10ppm","9271,00",2015-01-07
"Fyringsolie Premium 10ppm","9221,00",2015-01-08
"Fyringsolie Premium 10ppm","9221,00",2015-01-09
"Fyringsolie Premium 10ppm","9221,00",2015-01-10
"Fyringsolie Premium 10ppm","9221,00",2015-01-11
"Fyringsolie Premium 10ppm","9221,00",2015-01-12
"Fyringsolie Premium 10ppm","9171,00",2015-01-13
"Fyringsolie Premium 10ppm","9121,00",2015-01-14
"Fyringsolie Premium 10ppm","9081,00",2015-01-15
"Fyringsolie Premium 10ppm","9121,00",2015-01-16
"Fyringsolie Premium 10ppm","9141,00",2015-01-17
"Fyringsolie Premium 10ppm","9141,00",2015-01-18
"Fyringsolie Premium 10ppm","9141,00",2015-01-19
"Fyringsolie Premium 10ppm","9221,00",2015-01-20
"Fyringsolie Premium 10ppm","9221,00",2015-01-21
"Fyringsolie Premium 10ppm","9221,00",2015-01-22
"Fyringsolie Premium 10ppm","9181,00",2015-01-23
"Fyringsolie Premium 10ppm","9221,00",2015-01-24
"Fyringsolie Premium 10ppm","9221,00",2015-01-25
"Fyringsolie Premium 10ppm","9221,00",2015-01-26
"Fyringsolie Premium 10ppm","9321,00",2015-01-27
"Fyringsolie Premium 10ppm","9321,00",2015-01-28
"Fyringsolie Premium 10ppm","9281,00",2015-01-29
"Fyringsolie Premium 10ppm","9281,00",2015-01-30
"Fyringsolie Premium 10ppm","9281,00",2015-01-31
"Fyringsolie Premium 10ppm","9281,00",2015-02-01
"Fyringsolie Premium 10ppm","9281,00",2015-02-02
"Fyringsolie Premium 10ppm","9321,00",2015-02-03
"Fyringsolie Premium 10ppm","9521,00",2015-02-04
"Fyringsolie Premium 10ppm","9621,00",2015-02-05
"Fyringsolie Premium 10ppm","9621,00",2015-02-06
"Fyringsolie Premium 10ppm","9671,00",2015-02-07
"Fyringsolie Premium 10ppm","9671,00",2015-02-08
"Fyringsolie Premium 10ppm","9671,00",2015-02-09
"Fyringsolie Premium 10ppm","9691,00",2015-02-10
"Fyringsolie Premium 10ppm","9861,00",2015-02-11
"Fyringsolie Premium 10ppm","9761,00",2015-02-12
"Fyringsolie Premium 10ppm","9711,00",2015-02-13
"Fyringsolie Premium 10ppm","9841,00",2015-02-14
"Fyringsolie Premium 10ppm","9841,00",2015-02-15
"Fyringsolie Premium 10ppm","9841,00",2015-02-16
"Fyringsolie Premium 10ppm","9991,00",2015-02-17
"Fyringsolie Premium 10ppm","9991,00",2015-02-18
"Fyringsolie Premium 10ppm","9921,00",2015-02-19
"Fyringsolie Premium 10ppm","9921,00",2015-02-20
"Fyringsolie Premium 10ppm","9891,00",2015-02-21
"Fyringsolie Premium 10ppm","9891,00",2015-02-22
"Fyringsolie Premium 10ppm","9891,00",2015-02-23
"Fyringsolie Premium 10ppm","10021,00",2015-02-24
"Fyringsolie Premium 10ppm","9981,00",2015-02-25
"Fyringsolie Premium 10ppm","9981,00",2015-02-26
"Fyringsolie Premium 10ppm","9981,00",2015-02-27
"Fyringsolie Premium 10ppm","10021,00",2015-02-28
"Fyringsolie Premium 10ppm","10021,00",2015-03-01
"Fyringsolie Premium 10ppm","10021,00",2015-03-02
"Fyringsolie Premium 10ppm","10071,00",2015-03-03
"Fyringsolie Premium 10ppm","10021,00",2015-03-04
"Fyringsolie Premium 10ppm","10021,00",2015-03-05
"Fyringsolie Premium 10ppm","9981,00",2015-03-06
"Fyringsolie Premium 10ppm","10021,00",2015-03-07
"Fyringsolie Premium 10ppm","10021,00",2015-03-08
"Fyringsolie Premium 10ppm","10021,00",2015-03-09
"Fyringsolie Premium 10ppm","10071,00",2015-03-10
"Fyringsolie Premium 10ppm","10071,00",2015-03-11
"Fyringsolie Premium 10ppm","10021,00",2015-03-12
"Fyringsolie Premium 10ppm","10021,00",2015-03-13
"Fyringsolie Premium 10ppm","9981,00",2015-03-14
"Fyringsolie Premium 10ppm","9981,00",2015-03-15
"Fyringsolie Premium 10ppm","9981,00",2015-03-16
"Fyringsolie Premium 10ppm","9921,00",2015-03-17
"Fyringsolie Premium 10ppm","9821,00",2015-03-18
"Fyringsolie Premium 10ppm","9781,00",2015-03-19
"Fyringsolie Premium 10ppm","9881,00",2015-03-20
"Fyringsolie Premium 10ppm","9821,00",2015-03-21
"Fyringsolie Premium 10ppm","9821,00",2015-03-22
"Fyringsolie Premium 10ppm","9821,00",2015-03-23
"Fyringsolie Premium 10ppm","9821,00",2015-03-24
"Fyringsolie Premium 10ppm","9821,00",2015-03-25
"Fyringsolie Premium 10ppm","9781,00",2015-03-26
"Fyringsolie Premium 10ppm","9821,00",2015-03-27
"Fyringsolie Premium 10ppm","9921,00",2015-03-28
"Fyringsolie Premium 10ppm","9921,00",2015-03-29
"Fyringsolie Premium 10ppm","9921,00",2015-03-30
"Fyringsolie Premium 10ppm","9921,00",2015-03-31
"Fyringsolie Premium 10ppm","9821,00",2015-04-01
"Fyringsolie Premium 10ppm","9821,00",2015-04-02
"Fyringsolie Premium 10ppm","9821,00",2015-04-03
"Fyringsolie Premium 10ppm","9721,00",2015-04-04
"Fyringsolie Premium 10ppm","9721,00",2015-04-05
"Fyringsolie Premium 10ppm","9721,00",2015-04-06
"Fyringsolie Premium 10ppm","9721,00",2015-04-07
"Fyringsolie Premium 10ppm","9721,00",2015-04-08
"Fyringsolie Premium 10ppm","9721,00",2015-04-09
"Fyringsolie Premium 10ppm","9721,00",2015-04-10
"Fyringsolie Premium 10ppm","9721,00",2015-04-11
"Fyringsolie Premium 10ppm","9721,00",2015-04-12
"Fyringsolie Premium 10ppm","9721,00",2015-04-13
"Fyringsolie Premium 10ppm","9921,00",2015-04-14
"Fyringsolie Premium 10ppm","9981,00",2015-04-15
"Fyringsolie Premium 10ppm","10021,00",2015-04-16
"Fyringsolie Premium 10ppm","10081,00",2015-04-17
"Fyringsolie Premium 10ppm","10121,00",2015-04-18
"Fyringsolie Premium 10ppm","10121,00",2015-04-19
"Fyringsolie Premium 10ppm","10121,00",2015-04-20
"Fyringsolie Premium 10ppm","10081,00",2015-04-21
"Fyringsolie Premium 10ppm","10121,00",2015-04-22
"Fyringsolie Premium 10ppm","10081,00",2015-04-23
"Fyringsolie Premium 10ppm","10061,00",2015-04-24
"Fyringsolie Premium 10ppm","10201,00",2015-04-25
"Fyringsolie Premium 10ppm","10201,00",2015-04-26
"Fyringsolie Premium 10ppm","10201,00",2015-04-27
"Fyringsolie Premium 10ppm","10201,00",2015-04-28
"Fyringsolie Premium 10ppm","10121,00",2015-04-29
"Fyringsolie Premium 10ppm","10121,00",2015-04-30
"Fyringsolie Premium 10ppm","10171,00",2015-05-01
"Fyringsolie Premium 10ppm","10071,00",2015-05-02
"Fyringsolie Premium 10ppm","10071,00",2015-05-03
"Fyringsolie Premium 10ppm","10071,00",2015-05-04
"Fyringsolie Premium 10ppm","10071,00",2015-05-05
"Fyringsolie Premium 10ppm","10121,00",2015-05-06
"Fyringsolie Premium 10ppm","10281,00",2015-05-07
"Fyringsolie Premium 10ppm","10221,00",2015-05-08
"Fyringsolie Premium 10ppm","10121,00",2015-05-09
"Fyringsolie Premium 10ppm","10121,00",2015-05-10
"Fyringsolie Premium 10ppm","10121,00",2015-05-11
"Fyringsolie Premium 10ppm","10081,00",2015-05-12
"Fyringsolie Premium 10ppm","10081,00",2015-05-13
"Fyringsolie Premium 10ppm","10181,00",2015-05-14
"Fyringsolie Premium 10ppm","10181,00",2015-05-15
"Fyringsolie Premium 10ppm","10221,00",2015-05-16
"Fyringsolie Premium 10ppm","10221,00",2015-05-17
"Fyringsolie Premium 10ppm","10221,00",2015-05-18
"Fyringsolie Premium 10ppm","10181,00",2015-05-19
"Fyringsolie Premium 10ppm","10121,00",2015-05-20
"Fyringsolie Premium 10ppm","10081,00",2015-05-21
"Fyringsolie Premium 10ppm","10081,00",2015-05-22
"Fyringsolie Premium 10ppm","10221,00",2015-05-23
"Fyringsolie Premium 10ppm","10221,00",2015-05-24
"Fyringsolie Premium 10ppm","10221,00",2015-05-25
"Fyringsolie Premium 10ppm","10221,00",2015-05-26
"Fyringsolie Premium 10ppm","10121,00",2015-05-27
"Fyringsolie Premium 10ppm","10081,00",2015-05-28
"Fyringsolie Premium 10ppm","10051,00",2015-05-29
"Fyringsolie Premium 10ppm","10021,00",2015-05-30
"Fyringsolie Premium 10ppm","10021,00",2015-05-31
"Fyringsolie Premium 10ppm","10021,00",2015-06-01
"Fyringsolie Premium 10ppm","10141,00",2015-06-02
"Fyringsolie Premium 10ppm","10141,00",2015-06-03
"Fyringsolie Premium 10ppm","10141,00",2015-06-04
"Fyringsolie Premium 10ppm","9921,00",2015-06-06
"Fyringsolie Premium 10ppm","9921,00",2015-06-08
"Fyringsolie Premium 10ppm","9881,00",2015-06-09
"Fyringsolie Premium 10ppm","9921,00",2015-06-10
"Fyringsolie Premium 10ppm","10021,00",2015-06-11
"Fyringsolie Premium 10ppm","10081,00",2015-06-12
"Fyringsolie Premium 10ppm","10081,00",2015-06-13
"Fyringsolie Premium 10ppm","10081,00",2015-06-14
"Fyringsolie Premium 10ppm","10081,00",2015-06-15
"Fyringsolie Premium 10ppm","10021,00",2015-06-16
"Fyringsolie Premium 10ppm","9981,00",2015-06-17
"Fyringsolie Premium 10ppm","9981,00",2015-06-18
"Fyringsolie Premium 10ppm","10021,00",2015-06-19
"Fyringsolie Premium 10ppm","9981,00",2015-06-20
"Fyringsolie Premium 10ppm","9981,00",2015-06-21
"Fyringsolie Premium 10ppm","9981,00",2015-06-22
"Fyringsolie Premium 10ppm","9921,00",2015-06-23
"Fyringsolie Premium 10ppm","9881,00",2015-06-24
"Fyringsolie Premium 10ppm","10021,00",2015-06-25
"Fyringsolie Premium 10ppm","10021,00",2015-06-26
"Fyringsolie Premium 10ppm","9981,00",2015-06-27
"Fyringsolie Premium 10ppm","9981,00",2015-06-28
"Fyringsolie Premium 10ppm","9981,00",2015-06-29
"Fyringsolie Premium 10ppm","10121,00",2015-06-30
"Fyringsolie Premium 10ppm","10081,00",2015-07-01
"Fyringsolie Premium 10ppm","10121,00",2015-07-02
"Fyringsolie Premium 10ppm","10121,00",2015-07-03
"Fyringsolie Premium 10ppm","10121,00",2015-07-04
"Fyringsolie Premium 10ppm","10121,00",2015-07-05
"Fyringsolie Premium 10ppm","10121,00",2015-07-06
"Fyringsolie Premium 10ppm","9981,00",2015-07-07
"Fyringsolie Premium 10ppm","9881,00",2015-07-08
"Fyringsolie Premium 10ppm","9781,00",2015-07-09
"Fyringsolie Premium 10ppm","9781,00",2015-07-10
"Fyringsolie Premium 10ppm","9881,00",2015-07-11
"Fyringsolie Premium 10ppm","9881,00",2015-07-12
"Fyringsolie Premium 10ppm","9881,00",2015-07-13
"Fyringsolie Premium 10ppm","9711,00",2015-07-14
"Fyringsolie Premium 10ppm","9781,00",2015-07-15
"Fyringsolie Premium 10ppm","9721,00",2015-07-16
"Fyringsolie Premium 10ppm","9701,00",2015-07-17
"Fyringsolie Premium 10ppm","9721,00",2015-07-18
"Fyringsolie Premium 10ppm","9721,00",2015-07-19
"Fyringsolie Premium 10ppm","9721,00",2015-07-20
"Fyringsolie Premium 10ppm","9721,00",2015-07-22
"Fyringsolie Premium 10ppm","9721,00",2015-07-23
"Fyringsolie Premium 10ppm","9721,00",2015-07-25
"Fyringsolie Premium 10ppm","9721,00",2015-07-27
