Product,"Price gross",Date
"miles Diesel B7 Leveret","12690,00",2020-01-24
"miles Diesel B7 Leveret","12590,00",2020-01-25
"miles Diesel B7 Leveret","12590,00",2020-01-26
"miles Diesel B7 Leveret","12590,00",2020-01-27
"miles Diesel B7 Leveret","12490,00",2020-01-28
"miles Diesel B7 Leveret","12490,00",2020-01-29
"miles Diesel B7 Leveret","12390,00",2020-01-30
"miles Diesel B7 Leveret","12390,00",2020-01-31
"miles Diesel B7 Leveret","12390,00",2020-02-01
"miles Diesel B7 Leveret","12390,00",2020-02-02
"miles Diesel B7 Leveret","12390,00",2020-02-03
"miles Diesel B7 Leveret","12390,00",2020-02-04
"miles Diesel B7 Leveret","12190,00",2020-02-05
"miles Diesel B7 Leveret","12190,00",2020-02-06
"miles Diesel B7 Leveret","12290,00",2020-02-07
"miles Diesel B7 Leveret","12190,00",2020-02-08
"miles Diesel B7 Leveret","12190,00",2020-02-09
"miles Diesel B7 Leveret","12190,00",2020-02-10
"miles Diesel B7 Leveret","12290,00",2020-02-11
"miles Diesel B7 Leveret","12290,00",2020-02-12
"miles Diesel B7 Leveret","12190,00",2020-02-13
"miles Diesel B7 Leveret","12190,00",2020-02-14
"miles Diesel B7 Leveret","12290,00",2020-02-15
"miles Diesel B7 Leveret","12290,00",2020-02-16
"miles Diesel B7 Leveret","12290,00",2020-02-17
"miles Diesel B7 Leveret","12290,00",2020-02-18
"miles Diesel B7 Leveret","12390,00",2020-02-19
"miles Diesel B7 Leveret","12390,00",2020-02-20
"miles Diesel B7 Leveret","12490,00",2020-02-21
"miles Diesel B7 Leveret","12490,00",2020-02-22
"miles Diesel B7 Leveret","12490,00",2020-02-23
"miles Diesel B7 Leveret","12490,00",2020-02-24
"miles Diesel B7 Leveret","12390,00",2020-02-25
"miles Diesel B7 Leveret","12290,00",2020-02-27
"miles Diesel B7 Leveret","12190,00",2020-02-28
"miles Diesel B7 Leveret","12090,00",2020-02-29
"miles Diesel B7 Leveret","12090,00",2020-03-01
"miles Diesel B7 Leveret","12090,00",2020-03-02
"miles Diesel B7 Leveret","11890,00",2020-03-04
"miles Diesel B7 Leveret","11890,00",2020-03-05
"miles Diesel B7 Leveret","11990,00",2020-03-06
"miles Diesel B7 Leveret","11890,00",2020-03-07
"miles Diesel B7 Leveret","11890,00",2020-03-08
"miles Diesel B7 Leveret","11890,00",2020-03-09
"miles Diesel B7 Leveret","11590,00",2020-03-10
"miles Diesel B7 Leveret","11390,00",2020-03-11
"miles Diesel B7 Leveret","11290,00",2020-03-12
"miles Diesel B7 Leveret","11190,00",2020-03-13
"miles Diesel B7 Leveret","10990,00",2020-03-14
"miles Diesel B7 Leveret","10990,00",2020-03-15
"miles Diesel B7 Leveret","10990,00",2020-03-16
"miles Diesel B7 Leveret","10790,00",2020-03-17
"miles Diesel B7 Leveret","10590,00",2020-03-18
"miles Diesel B7 Leveret","10690,00",2020-03-19
"miles Diesel B7 Leveret","10590,00",2020-03-20
"miles Diesel B7 Leveret","10490,00",2020-03-21
"miles Diesel B7 Leveret","10490,00",2020-03-22
"miles Diesel B7 Leveret","10490,00",2020-03-23
"miles Diesel B7 Leveret","10590,00",2020-03-24
"miles Diesel B7 Leveret","10390,00",2020-03-25
"miles Diesel B7 Leveret","10290,00",2020-03-26
"miles Diesel B7 Leveret","10190,00",2020-03-27
"miles Diesel B7 Leveret","10390,00",2020-03-28
"miles Diesel B7 Leveret","10390,00",2020-03-29
"miles Diesel B7 Leveret","10390,00",2020-03-30
"miles Diesel B7 Leveret","10290,00",2020-03-31
"miles Diesel B7 Leveret","10390,00",2020-04-01
"miles Diesel B7 Leveret","10190,00",2020-04-02
"miles Diesel B7 Leveret","10190,00",2020-04-03
"miles Diesel B7 Leveret","10090,00",2020-04-04
"miles Diesel B7 Leveret","10090,00",2020-04-05
"miles Diesel B7 Leveret","10090,00",2020-04-06
"miles Diesel B7 Leveret","10190,00",2020-04-07
"miles Diesel B7 Leveret","10090,00",2020-04-08
"miles Diesel B7 Leveret","10190,00",2020-04-09
"miles Diesel B7 Leveret","10090,00",2020-04-15
"miles Diesel B7 Leveret","10090,00",2020-04-16
"miles Diesel B7 Leveret","10090,00",2020-04-17
"miles Diesel B7 Leveret","10090,00",2020-04-18
"miles Diesel B7 Leveret","10090,00",2020-04-19
"miles Diesel B7 Leveret","10090,00",2020-04-20
"miles Diesel B7 Leveret","10190,00",2020-04-21
"miles Diesel B7 Leveret","10090,00",2020-04-22
"miles Diesel B7 Leveret","9890,00",2020-04-23
"miles Diesel B7 Leveret","9890,00",2020-04-24
"miles Diesel B7 Leveret","9990,00",2020-04-25
"miles Diesel B7 Leveret","9990,00",2020-04-26
"miles Diesel B7 Leveret","9990,00",2020-04-27
"miles Diesel B7 Leveret","9890,00",2020-04-28
"miles Diesel B7 Leveret","9890,00",2020-04-29
"miles Diesel B7 Leveret","9123,00",2020-05-01
"miles Diesel B7 Leveret","9123,00",2020-05-01
"miles Diesel B7 Leveret","9323,00",2020-05-02
"miles Diesel B7 Leveret","9323,00",2020-05-02
"miles Diesel B7 Leveret","9323,00",2020-05-02
"miles Diesel B7 Leveret","9323,00",2020-05-02
"miles Diesel B7 Leveret","9323,00",2020-05-03
"miles Diesel B7 Leveret","9323,00",2020-05-04
"miles Diesel B7 Leveret","9223,00",2020-05-05
"miles Diesel B7 Leveret","9223,00",2020-05-05
"miles Diesel B7 Leveret","9223,00",2020-05-06
"miles Diesel B7 Leveret","9223,00",2020-05-07
"miles Diesel B7 Leveret","9223,00",2020-05-07
"miles Diesel B7 Leveret","9223,00",2020-05-08
"miles Diesel B7 Leveret","9223,00",2020-05-08
"miles Diesel B7 Leveret","9223,00",2020-05-08
"miles Diesel B7 Leveret","9223,00",2020-05-08
"miles Diesel B7 Leveret","9223,00",2020-05-08
"miles Diesel B7 Leveret","9223,00",2020-05-09
"miles Diesel B7 Leveret","9223,00",2020-05-09
"miles Diesel B7 Leveret","9223,00",2020-05-12
"miles Diesel B7 Leveret","9223,00",2020-05-12
"miles Diesel B7 Leveret","9223,00",2020-05-13
"miles Diesel B7 Leveret","9223,00",2020-05-14
"miles Diesel B7 Leveret","9223,00",2020-05-15
"miles Diesel B7 Leveret","9223,00",2020-05-15
"miles Diesel B7 Leveret","9323,00",2020-05-16
"miles Diesel B7 Leveret","9323,00",2020-05-16
"miles Diesel B7 Leveret","9323,00",2020-05-17
"miles Diesel B7 Leveret","9323,00",2020-05-17
"miles Diesel B7 Leveret","9323,00",2020-05-18
"miles Diesel B7 Leveret","9423,00",2020-05-19
"miles Diesel B7 Leveret","9523,00",2020-05-21
"miles Diesel B7 Leveret","9523,00",2020-05-23
"miles Diesel B7 Leveret","9420,00",2020-05-26
"miles Diesel B7 Leveret","9520,00",2020-05-27
"miles Diesel B7 Leveret","9420,00",2020-05-30
"miles Diesel B7 Leveret","9520,00",2020-06-03
"miles Diesel B7 Leveret","9720,00",2020-06-04
"miles Diesel B7 Leveret","9820,00",2020-06-09
"miles Diesel B7 Leveret","9720,00",2020-06-13
"miles Diesel B7 Leveret","9820,00",2020-06-17
"miles Diesel B7 Leveret","9920,00",2020-06-18
"miles Diesel B7 Leveret","10020,00",2020-06-23
"miles Diesel B7 Leveret","9920,00",2020-06-26
"miles Diesel B7 Leveret","10020,00",2020-07-02
"miles Diesel B7 Leveret","10120,00",2020-07-03
"miles Diesel B7 Leveret","10220,00",2020-07-08
"miles Diesel B7 Leveret","10120,00",2020-07-16
"miles Diesel B7 Leveret","10320,00",2020-07-23
"miles Diesel B7 Leveret","10220,00",2020-07-25
"miles Diesel B7 Leveret","10120,00",2020-07-29
"miles Diesel B7 Leveret","10220,00",2020-07-31
"miles Diesel B7 Leveret","10120,00",2020-08-01
"miles Diesel B7 Leveret","10220,00",2020-08-07
"miles Diesel B7 Leveret","10120,00",2020-08-11
"miles Diesel B7 Leveret","10020,00",2020-08-25
"miles Diesel B7 Leveret","10120,00",2020-08-26
"miles Diesel B7 Leveret","10020,00",2020-09-01
"miles Diesel B7 Leveret","9920,00",2020-09-05
"miles Diesel B7 Leveret","9820,00",2020-09-09
"miles Diesel B7 Leveret","9720,00",2020-09-12
"miles Diesel B7 Leveret","9920,00",2020-09-19
"miles Diesel B7 Leveret","9720,00",2020-09-23
"miles Diesel B7 Leveret","9820,00",2020-09-26
"miles Diesel B7 Leveret","9920,00",2020-09-29
"miles Diesel B7 Leveret","9820,00",2020-10-06
"miles Diesel B7 Leveret","9920,00",2020-10-07
"miles Diesel B7 Leveret","10020,00",2020-10-08
"miles Diesel B7 Leveret","10120,00",2020-10-13
"miles Diesel B7 Leveret","10020,00",2020-10-14
"miles Diesel B7 Leveret","9920,00",2020-10-23
"miles Diesel B7 Leveret","10020,00",2020-10-24
"miles Diesel B7 Leveret","9920,00",2020-10-28
"miles Diesel B7 Leveret","9820,00",2020-10-31
"miles Diesel B7 Leveret","9920,00",2020-11-05
"miles Diesel B7 Leveret","10020,00",2020-11-06
"miles Diesel B7 Leveret","9920,00",2020-11-10
"miles Diesel B7 Leveret","10020,00",2020-11-11
"miles Diesel B7 Leveret","10120,00",2020-11-12
"miles Diesel B7 Leveret","10220,00",2020-11-13
"miles Diesel B7 Leveret","10120,00",2020-11-17
"miles Diesel B7 Leveret","10220,00",2020-11-20
"miles Diesel B7 Leveret","10420,00",2020-11-26
"miles Diesel B7 Leveret","10320,00",2020-12-02
"miles Diesel B7 Leveret","10420,00",2020-12-05
"miles Diesel B7 Leveret","10320,00",2020-12-11
"miles Diesel B7 Leveret","10520,00",2020-12-12
"miles Diesel B7 Leveret","10420,00",2020-12-16
"miles Diesel B7 Leveret","10520,00",2020-12-17
"miles Diesel B7 Leveret","10620,00",2020-12-22
"miles Diesel B7 Leveret","10520,00",2020-12-23
"miles Diesel B7 Leveret","10555,00",2021-01-01
"miles Diesel B7 Leveret","10550,00",2021-01-05
"miles Diesel B7 Leveret","10650,00",2021-01-07
"miles Diesel B7 Leveret","10750,00",2021-01-12
"miles Diesel B7 Leveret","10850,00",2021-01-15
"miles Diesel B7 Leveret","10750,00",2021-01-26
"miles Diesel B7 Leveret","10850,00",2021-01-29
"miles Diesel B7 Leveret","10950,00",2021-02-04
"miles Diesel B7 Leveret","11050,00",2021-02-05
"miles Diesel B7 Leveret","11150,00",2021-02-09
"miles Diesel B7 Leveret","11250,00",2021-02-17
"miles Diesel B7 Leveret","11350,00",2021-02-19
"miles Diesel B7 Leveret","11450,00",2021-02-26
"miles Diesel B7 Leveret","11350,00",2021-03-04
"miles Diesel B7 Leveret","11550,00",2021-03-09
"miles Diesel B7 Leveret","11450,00",2021-03-12
"miles Diesel B7 Leveret","11550,00",2021-03-13
