Product,"Price gross",Date
"miles95 leveret","10590,00",2020-05-19
"miles95 leveret","10790,00",2020-05-21
"miles95 leveret","10690,00",2020-05-23
"miles95 leveret","10690,00",2020-05-26
"miles95 leveret","10690,00",2020-05-27
"miles95 leveret","10790,00",2020-05-28
"miles95 leveret","10690,00",2020-05-29
"miles95 leveret","10790,00",2020-06-04
"miles95 leveret","10890,00",2020-06-05
"miles95 leveret","11090,00",2020-06-09
"miles95 leveret","10990,00",2020-06-11
"miles95 leveret","11090,00",2020-06-17
"miles95 leveret","11190,00",2020-06-18
"miles95 leveret","11390,00",2020-06-20
"miles95 leveret","11190,00",2020-06-26
"miles95 leveret","11390,00",2020-07-03
"miles95 leveret","11490,00",2020-07-10
"miles95 leveret","11390,00",2020-07-15
"miles95 leveret","11290,00",2020-07-17
"miles95 leveret","11190,00",2020-07-21
"miles95 leveret","11390,00",2020-07-23
"miles95 leveret","11190,00",2020-07-29
"miles95 leveret","11390,00",2020-08-07
"miles95 leveret","11490,00",2020-08-19
"miles95 leveret","11390,00",2020-08-25
"miles95 leveret","11490,00",2020-08-26
"miles95 leveret","11390,00",2020-09-05
"miles95 leveret","11490,00",2020-09-18
"miles95 leveret","11590,00",2020-09-19
"miles95 leveret","11390,00",2020-09-23
"miles95 leveret","11490,00",2020-09-29
"miles95 leveret","11390,00",2020-10-03
"miles95 leveret","11490,00",2020-10-07
"miles95 leveret","11390,00",2020-10-14
"miles95 leveret","11290,00",2020-10-17
"miles95 leveret","11190,00",2020-10-22
"miles95 leveret","11090,00",2020-10-28
"miles95 leveret","10990,00",2020-10-30
"miles95 leveret","10890,00",2020-10-31
"miles95 leveret","10990,00",2020-11-11
"miles95 leveret","11090,00",2020-11-12
"miles95 leveret","10990,00",2020-11-17
"miles95 leveret","11090,00",2020-11-18
"miles95 leveret","10990,00",2020-11-19
"miles95 leveret","11090,00",2020-11-20
"miles95 leveret","10990,00",2020-11-21
"miles95 leveret","11090,00",2020-11-25
"miles95 leveret","11190,00",2020-11-26
"miles95 leveret","11290,00",2020-12-02
"miles95 leveret","11190,00",2020-12-03
"miles95 leveret","11290,00",2020-12-05
"miles95 leveret","11190,00",2020-12-11
"miles95 leveret","11390,00",2020-12-12
"miles95 leveret","11290,00",2020-12-16
"miles95 leveret","11390,00",2020-12-22
"miles95 leveret","11290,00",2020-12-23
"miles95 leveret","11390,00",2020-12-24
"miles95 leveret","11290,00",2020-12-29
"miles95 leveret","11340,00",2021-01-01
"miles95 leveret","11390,00",2021-01-05
"miles95 leveret","11490,00",2021-01-07
"miles95 leveret","11590,00",2021-01-09
"miles95 leveret","11690,00",2021-01-12
"miles95 leveret","11790,00",2021-02-02
"miles95 leveret","11890,00",2021-02-04
"miles95 leveret","11990,00",2021-02-09
"miles95 leveret","11890,00",2021-02-10
"miles95 leveret","11990,00",2021-02-17
"miles95 leveret","12090,00",2021-02-20
"miles95 leveret","12190,00",2021-02-26
"miles95 leveret","12390,00",2021-03-04
"miles95 leveret","12490,00",2021-03-09
"miles95 leveret","12590,00",2021-03-13
