Product,"Price gross",Date
"Fyringsolie Basis","9221,00",2015-01-02
"Fyringsolie Basis","9151,00",2015-01-03
"Fyringsolie Basis","9151,00",2015-01-04
"Fyringsolie Basis","9151,00",2015-01-05
"Fyringsolie Basis","9151,00",2015-01-06
"Fyringsolie Basis","9051,00",2015-01-07
"Fyringsolie Basis","9001,00",2015-01-08
"Fyringsolie Basis","9001,00",2015-01-09
"Fyringsolie Basis","9001,00",2015-01-10
"Fyringsolie Basis","9001,00",2015-01-11
"Fyringsolie Basis","9001,00",2015-01-12
"Fyringsolie Basis","8951,00",2015-01-13
"Fyringsolie Basis","8901,00",2015-01-14
"Fyringsolie Basis","8861,00",2015-01-15
"Fyringsolie Basis","8901,00",2015-01-16
"Fyringsolie Basis","8921,00",2015-01-17
"Fyringsolie Basis","8921,00",2015-01-18
"Fyringsolie Basis","8921,00",2015-01-19
"Fyringsolie Basis","9001,00",2015-01-20
"Fyringsolie Basis","9001,00",2015-01-21
"Fyringsolie Basis","9001,00",2015-01-22
"Fyringsolie Basis","8961,00",2015-01-23
"Fyringsolie Basis","9001,00",2015-01-24
"Fyringsolie Basis","9001,00",2015-01-25
"Fyringsolie Basis","9001,00",2015-01-26
"Fyringsolie Basis","9101,00",2015-01-27
"Fyringsolie Basis","9101,00",2015-01-28
"Fyringsolie Basis","9061,00",2015-01-29
"Fyringsolie Basis","9061,00",2015-01-30
"Fyringsolie Basis","9061,00",2015-01-31
"Fyringsolie Basis","9061,00",2015-02-01
"Fyringsolie Basis","9061,00",2015-02-02
"Fyringsolie Basis","9101,00",2015-02-03
"Fyringsolie Basis","9301,00",2015-02-04
"Fyringsolie Basis","9401,00",2015-02-05
"Fyringsolie Basis","9401,00",2015-02-06
"Fyringsolie Basis","9451,00",2015-02-07
"Fyringsolie Basis","9451,00",2015-02-08
"Fyringsolie Basis","9451,00",2015-02-09
"Fyringsolie Basis","9471,00",2015-02-10
"Fyringsolie Basis","9641,00",2015-02-11
"Fyringsolie Basis","9541,00",2015-02-12
"Fyringsolie Basis","9491,00",2015-02-13
"Fyringsolie Basis","9621,00",2015-02-14
"Fyringsolie Basis","9621,00",2015-02-15
"Fyringsolie Basis","9621,00",2015-02-16
"Fyringsolie Basis","9771,00",2015-02-17
"Fyringsolie Basis","9771,00",2015-02-18
"Fyringsolie Basis","9701,00",2015-02-19
"Fyringsolie Basis","9701,00",2015-02-20
"Fyringsolie Basis","9671,00",2015-02-21
"Fyringsolie Basis","9671,00",2015-02-22
"Fyringsolie Basis","9671,00",2015-02-23
"Fyringsolie Basis","9801,00",2015-02-24
"Fyringsolie Basis","9761,00",2015-02-25
"Fyringsolie Basis","9761,00",2015-02-26
"Fyringsolie Basis","9761,00",2015-02-27
"Fyringsolie Basis","9801,00",2015-02-28
"Fyringsolie Basis","9801,00",2015-03-01
"Fyringsolie Basis","9801,00",2015-03-02
"Fyringsolie Basis","9851,00",2015-03-03
"Fyringsolie Basis","9801,00",2015-03-04
"Fyringsolie Basis","9801,00",2015-03-05
"Fyringsolie Basis","9761,00",2015-03-06
"Fyringsolie Basis","9801,00",2015-03-07
"Fyringsolie Basis","9801,00",2015-03-08
"Fyringsolie Basis","9801,00",2015-03-09
"Fyringsolie Basis","9851,00",2015-03-10
"Fyringsolie Basis","9851,00",2015-03-11
"Fyringsolie Basis","9801,00",2015-03-12
"Fyringsolie Basis","9801,00",2015-03-13
"Fyringsolie Basis","9761,00",2015-03-14
"Fyringsolie Basis","9761,00",2015-03-15
"Fyringsolie Basis","9761,00",2015-03-16
"Fyringsolie Basis","9701,00",2015-03-17
"Fyringsolie Basis","9601,00",2015-03-18
"Fyringsolie Basis","9561,00",2015-03-19
"Fyringsolie Basis","9661,00",2015-03-20
"Fyringsolie Basis","9601,00",2015-03-21
"Fyringsolie Basis","9601,00",2015-03-22
"Fyringsolie Basis","9601,00",2015-03-23
"Fyringsolie Basis","9601,00",2015-03-24
"Fyringsolie Basis","9601,00",2015-03-25
"Fyringsolie Basis","9561,00",2015-03-26
"Fyringsolie Basis","9601,00",2015-03-27
"Fyringsolie Basis","9701,00",2015-03-28
"Fyringsolie Basis","9701,00",2015-03-29
"Fyringsolie Basis","9701,00",2015-03-30
"Fyringsolie Basis","9701,00",2015-03-31
"Fyringsolie Basis","9601,00",2015-04-01
"Fyringsolie Basis","9601,00",2015-04-02
"Fyringsolie Basis","9601,00",2015-04-03
"Fyringsolie Basis","9501,00",2015-04-04
"Fyringsolie Basis","9501,00",2015-04-05
"Fyringsolie Basis","9501,00",2015-04-06
"Fyringsolie Basis","9501,00",2015-04-07
"Fyringsolie Basis","9501,00",2015-04-08
"Fyringsolie Basis","9501,00",2015-04-09
"Fyringsolie Basis","9501,00",2015-04-10
"Fyringsolie Basis","9501,00",2015-04-11
"Fyringsolie Basis","9501,00",2015-04-12
"Fyringsolie Basis","9501,00",2015-04-13
"Fyringsolie Basis","9701,00",2015-04-14
"Fyringsolie Basis","9761,00",2015-04-15
"Fyringsolie Basis","9801,00",2015-04-16
"Fyringsolie Basis","9861,00",2015-04-17
"Fyringsolie Basis","9901,00",2015-04-18
"Fyringsolie Basis","9901,00",2015-04-19
"Fyringsolie Basis","9901,00",2015-04-20
"Fyringsolie Basis","9861,00",2015-04-21
"Fyringsolie Basis","9901,00",2015-04-22
"Fyringsolie Basis","9861,00",2015-04-23
"Fyringsolie Basis","9841,00",2015-04-24
"Fyringsolie Basis","9981,00",2015-04-25
"Fyringsolie Basis","9981,00",2015-04-26
"Fyringsolie Basis","9981,00",2015-04-27
"Fyringsolie Basis","9981,00",2015-04-28
"Fyringsolie Basis","9901,00",2015-04-29
"Fyringsolie Basis","9901,00",2015-04-30
"Fyringsolie Basis","9951,00",2015-05-01
"Fyringsolie Basis","9851,00",2015-05-02
"Fyringsolie Basis","9851,00",2015-05-03
"Fyringsolie Basis","9851,00",2015-05-04
"Fyringsolie Basis","9851,00",2015-05-05
"Fyringsolie Basis","9901,00",2015-05-06
"Fyringsolie Basis","10061,00",2015-05-07
"Fyringsolie Basis","10001,00",2015-05-08
"Fyringsolie Basis","9901,00",2015-05-09
"Fyringsolie Basis","9901,00",2015-05-10
"Fyringsolie Basis","9901,00",2015-05-11
"Fyringsolie Basis","9861,00",2015-05-12
"Fyringsolie Basis","9861,00",2015-05-13
"Fyringsolie Basis","9961,00",2015-05-14
"Fyringsolie Basis","9961,00",2015-05-15
"Fyringsolie Basis","10001,00",2015-05-16
"Fyringsolie Basis","10001,00",2015-05-17
"Fyringsolie Basis","10001,00",2015-05-18
"Fyringsolie Basis","9961,00",2015-05-19
"Fyringsolie Basis","9901,00",2015-05-20
"Fyringsolie Basis","9861,00",2015-05-21
"Fyringsolie Basis","9861,00",2015-05-22
"Fyringsolie Basis","10001,00",2015-05-23
"Fyringsolie Basis","10001,00",2015-05-24
"Fyringsolie Basis","10001,00",2015-05-25
"Fyringsolie Basis","10001,00",2015-05-26
"Fyringsolie Basis","9901,00",2015-05-27
"Fyringsolie Basis","9861,00",2015-05-28
"Fyringsolie Basis","9831,00",2015-05-29
"Fyringsolie Basis","9801,00",2015-05-30
"Fyringsolie Basis","9801,00",2015-05-31
"Fyringsolie Basis","9801,00",2015-06-01
"Fyringsolie Basis","9921,00",2015-06-02
"Fyringsolie Basis","9921,00",2015-06-03
"Fyringsolie Basis","9921,00",2015-06-04
"Fyringsolie Basis","9701,00",2015-06-06
"Fyringsolie Basis","9701,00",2015-06-08
"Fyringsolie Basis","9661,00",2015-06-09
"Fyringsolie Basis","9701,00",2015-06-10
"Fyringsolie Basis","9801,00",2015-06-11
"Fyringsolie Basis","9861,00",2015-06-12
"Fyringsolie Basis","9861,00",2015-06-13
"Fyringsolie Basis","9861,00",2015-06-14
"Fyringsolie Basis","9861,00",2015-06-15
"Fyringsolie Basis","9801,00",2015-06-16
"Fyringsolie Basis","9761,00",2015-06-17
"Fyringsolie Basis","9761,00",2015-06-18
"Fyringsolie Basis","9761,00",2015-06-20
"Fyringsolie Basis","9761,00",2015-06-21
"Fyringsolie Basis","9761,00",2015-06-22
"Fyringsolie Basis","9701,00",2015-06-23
"Fyringsolie Basis","9661,00",2015-06-24
"Fyringsolie Basis","9801,00",2015-06-25
"Fyringsolie Basis","9801,00",2015-06-26
"Fyringsolie Basis","9761,00",2015-06-27
"Fyringsolie Basis","9761,00",2015-06-28
"Fyringsolie Basis","9761,00",2015-06-29
"Fyringsolie Basis","9901,00",2015-06-30
"Fyringsolie Basis","9861,00",2015-07-01
"Fyringsolie Basis","9901,00",2015-07-02
"Fyringsolie Basis","9901,00",2015-07-03
"Fyringsolie Basis","9901,00",2015-07-04
"Fyringsolie Basis","9901,00",2015-07-05
"Fyringsolie Basis","9901,00",2015-07-06
"Fyringsolie Basis","9761,00",2015-07-07
"Fyringsolie Basis","9661,00",2015-07-08
"Fyringsolie Basis","9561,00",2015-07-09
"Fyringsolie Basis","9561,00",2015-07-10
"Fyringsolie Basis","9661,00",2015-07-11
"Fyringsolie Basis","9661,00",2015-07-12
"Fyringsolie Basis","9661,00",2015-07-13
"Fyringsolie Basis","9491,00",2015-07-14
"Fyringsolie Basis","9561,00",2015-07-15
"Fyringsolie Basis","9501,00",2015-07-16
"Fyringsolie Basis","9481,00",2015-07-17
"Fyringsolie Basis","9501,00",2015-07-18
"Fyringsolie Basis","9501,00",2015-07-19
"Fyringsolie Basis","9501,00",2015-07-20
"Fyringsolie Basis","9501,00",2015-07-22
"Fyringsolie Basis","9501,00",2015-07-23
"Fyringsolie Basis","9501,00",2015-07-25
"Fyringsolie Basis","9501,00",2015-07-27
"Fyringsolie Basis","9431,00",2015-07-28
"Fyringsolie Basis","9331,00",2015-07-29
"Fyringsolie Basis","9401,00",2015-07-30
"Fyringsolie Basis","9371,00",2015-07-31
"Fyringsolie Basis","9401,00",2015-08-01
"Fyringsolie Basis","9401,00",2015-08-02
"Fyringsolie Basis","9401,00",2015-08-03
"Fyringsolie Basis","9301,00",2015-08-04
"Fyringsolie Basis","9201,00",2015-08-05
"Fyringsolie Basis","9201,00",2015-08-06
"Fyringsolie Basis","9241,00",2015-08-07
"Fyringsolie Basis","9141,00",2015-08-08
"Fyringsolie Basis","9141,00",2015-08-09
"Fyringsolie Basis","9141,00",2015-08-10
"Fyringsolie Basis","9141,00",2015-08-11
"Fyringsolie Basis","9241,00",2015-08-12
"Fyringsolie Basis","9131,00",2015-08-14
"Fyringsolie Basis","9181,00",2015-08-15
"Fyringsolie Basis","9181,00",2015-08-16
"Fyringsolie Basis","9181,00",2015-08-17
"Fyringsolie Basis","9101,00",2015-08-19
"Fyringsolie Basis","9101,00",2015-08-20
"Fyringsolie Basis","9061,00",2015-08-21
"Fyringsolie Basis","9061,00",2015-08-22
"Fyringsolie Basis","9061,00",2015-08-23
"Fyringsolie Basis","9061,00",2015-08-24
"Fyringsolie Basis","8901,00",2015-08-25
"Fyringsolie Basis","8801,00",2015-08-27
"Fyringsolie Basis","8751,00",2015-08-28
"Fyringsolie Basis","8901,00",2015-08-29
"Fyringsolie Basis","9001,00",2015-08-30
"Fyringsolie Basis","9001,00",2015-08-31
"Fyringsolie Basis","9101,00",2015-09-01
"Fyringsolie Basis","9161,00",2015-09-02
"Fyringsolie Basis","9161,00",2015-09-03
"Fyringsolie Basis","9041,00",2015-09-04
"Fyringsolie Basis","9241,00",2015-09-06
"Fyringsolie Basis","9241,00",2015-09-07
"Fyringsolie Basis","9101,00",2015-09-10
"Fyringsolie Basis","9101,00",2015-09-11
"Fyringsolie Basis","9151,00",2015-09-13
"Fyringsolie Basis","9151,00",2015-09-14
"Fyringsolie Basis","9001,00",2015-09-16
"Fyringsolie Basis","8901,00",2015-09-17
"Fyringsolie Basis","9101,00",2015-09-18
"Fyringsolie Basis","9051,00",2015-09-19
"Fyringsolie Basis","9051,00",2015-09-20
"Fyringsolie Basis","9051,00",2015-09-21
"Fyringsolie Basis","8951,00",2015-09-22
"Fyringsolie Basis","9001,00",2015-09-23
"Fyringsolie Basis","9001,00",2015-09-24
"Fyringsolie Basis","9101,00",2015-09-26
"Fyringsolie Basis","9101,00",2015-09-27
"Fyringsolie Basis","9101,00",2015-09-28
"Fyringsolie Basis","9101,00",2015-09-29
"Fyringsolie Basis","9001,00",2015-09-30
"Fyringsolie Basis","9181,00",2015-10-01
"Fyringsolie Basis","9181,00",2015-10-02
"Fyringsolie Basis","9181,00",2015-10-03
"Fyringsolie Basis","9181,00",2015-10-04
"Fyringsolie Basis","9181,00",2015-10-05
"Fyringsolie Basis","9041,00",2015-10-06
"Fyringsolie Basis","9181,00",2015-10-07
"Fyringsolie Basis","9281,00",2015-10-08
"Fyringsolie Basis","9231,00",2015-10-09
"Fyringsolie Basis","9281,00",2015-10-10
"Fyringsolie Basis","9281,00",2015-10-11
"Fyringsolie Basis","9281,00",2015-10-12
"Fyringsolie Basis","9281,00",2015-10-13
"Fyringsolie Basis","9231,00",2015-10-14
"Fyringsolie Basis","9181,00",2015-10-15
"Fyringsolie Basis","9131,00",2015-10-16
"Fyringsolie Basis","9131,00",2015-10-17
"Fyringsolie Basis","9131,00",2015-10-18
"Fyringsolie Basis","9131,00",2015-10-19
"Fyringsolie Basis","8981,00",2015-10-20
"Fyringsolie Basis","8911,00",2015-10-21
"Fyringsolie Basis","8881,00",2015-10-22
"Fyringsolie Basis","8911,00",2015-10-23
"Fyringsolie Basis","8931,00",2015-10-24
"Fyringsolie Basis","8931,00",2015-10-25
"Fyringsolie Basis","8931,00",2015-10-26
"Fyringsolie Basis","9031,00",2015-10-27
"Fyringsolie Basis","9031,00",2015-10-28
"Fyringsolie Basis","8921,00",2015-10-29
"Fyringsolie Basis","9081,00",2015-10-30
"Fyringsolie Basis","9181,00",2015-10-31
"Fyringsolie Basis","9181,00",2015-11-01
"Fyringsolie Basis","9181,00",2015-11-02
"Fyringsolie Basis","9121,00",2015-11-03
"Fyringsolie Basis","9081,00",2015-11-04
"Fyringsolie Basis","9181,00",2015-11-05
"Fyringsolie Basis","9181,00",2015-11-06
"Fyringsolie Basis","9181,00",2015-11-07
"Fyringsolie Basis","9181,00",2015-11-08
"Fyringsolie Basis","9181,00",2015-11-09
"Fyringsolie Basis","9181,00",2015-11-10
"Fyringsolie Basis","9181,00",2015-11-11
"Fyringsolie Basis","9181,00",2015-11-12
"Fyringsolie Basis","9131,00",2015-11-13
"Fyringsolie Basis","9081,00",2015-11-14
"Fyringsolie Basis","9081,00",2015-11-15
"Fyringsolie Basis","9081,00",2015-11-16
"Fyringsolie Basis","8981,00",2015-11-17
"Fyringsolie Basis","8981,00",2015-11-18
"Fyringsolie Basis","8981,00",2015-11-19
"Fyringsolie Basis","8981,00",2015-11-20
"Fyringsolie Basis","9081,00",2015-11-21
"Fyringsolie Basis","9081,00",2015-11-22
"Fyringsolie Basis","9081,00",2015-11-23
"Fyringsolie Basis","8981,00",2015-11-24
"Fyringsolie Basis","9051,00",2015-11-25
"Fyringsolie Basis","9051,00",2015-11-26
"Fyringsolie Basis","9051,00",2015-11-27
"Fyringsolie Basis","9051,00",2015-11-28
"Fyringsolie Basis","9051,00",2015-11-29
"Fyringsolie Basis","9051,00",2015-11-30
"Fyringsolie Basis","8981,00",2015-12-01
"Fyringsolie Basis","8881,00",2015-12-03
"Fyringsolie Basis","8841,00",2015-12-04
"Fyringsolie Basis","8841,00",2015-12-05
"Fyringsolie Basis","8841,00",2015-12-06
"Fyringsolie Basis","8841,00",2015-12-07
"Fyringsolie Basis","8781,00",2015-12-08
"Fyringsolie Basis","8681,00",2015-12-09
"Fyringsolie Basis","8631,00",2015-12-10
"Fyringsolie Basis","8581,00",2015-12-11
"Fyringsolie Basis","8581,00",2015-12-12
"Fyringsolie Basis","8581,00",2015-12-13
"Fyringsolie Basis","8581,00",2015-12-14
"Fyringsolie Basis","8481,00",2015-12-15
"Fyringsolie Basis","8281,00",2015-12-16
"Fyringsolie Basis","8281,00",2015-12-17
"Fyringsolie Basis","8281,00",2015-12-18
"Fyringsolie Basis","8281,00",2015-12-19
"Fyringsolie Basis","8281,00",2015-12-20
"Fyringsolie Basis","8281,00",2015-12-21
"Fyringsolie Basis","8441,00",2015-12-22
"Fyringsolie Basis","8281,00",2015-12-23
"Fyringsolie Basis","8281,00",2015-12-24
"Fyringsolie Basis","8381,00",2015-12-25
"Fyringsolie Basis","8381,00",2015-12-27
"Fyringsolie Basis","8381,00",2015-12-28
"Fyringsolie Basis","8381,00",2015-12-29
"Fyringsolie Basis","8441,00",2015-12-30
"Fyringsolie Basis","8521,00",2015-12-31
"Fyringsolie Basis","8551,00",2016-01-01
"Fyringsolie Basis","8551,00",2016-01-02
"Fyringsolie Basis","8551,00",2016-01-03
"Fyringsolie Basis","8551,00",2016-01-04
"Fyringsolie Basis","8481,00",2016-01-07
"Fyringsolie Basis","8376,00",2016-01-09
"Fyringsolie Basis","8376,00",2016-01-10
"Fyringsolie Basis","8376,00",2016-01-11
"Fyringsolie Basis","8276,00",2016-01-12
"Fyringsolie Basis","8176,00",2016-01-13
"Fyringsolie Basis","8076,00",2016-01-14
"Fyringsolie Basis","8076,00",2016-01-15
"Fyringsolie Basis","7976,00",2016-01-16
"Fyringsolie Basis","7976,00",2016-01-18
"Fyringsolie Basis","7976,00",2016-01-19
"Fyringsolie Basis","7976,00",2016-01-20
"Fyringsolie Basis","7976,00",2016-01-21
"Fyringsolie Basis","7876,00",2016-01-22
"Fyringsolie Basis","7976,00",2016-01-23
"Fyringsolie Basis","7976,00",2016-01-24
"Fyringsolie Basis","7976,00",2016-01-25
"Fyringsolie Basis","7976,00",2016-01-26
"Fyringsolie Basis","7896,00",2016-01-27
