Product,"Price gross",Date
"miles Off-road Diesel B0","9538,00",2015-01-02
"miles Off-road Diesel B0","9468,00",2015-01-03
"miles Off-road Diesel B0","9468,00",2015-01-04
"miles Off-road Diesel B0","9468,00",2015-01-05
"miles Off-road Diesel B0","9468,00",2015-01-06
"miles Off-road Diesel B0","9368,00",2015-01-07
"miles Off-road Diesel B0","9318,00",2015-01-08
"miles Off-road Diesel B0","9318,00",2015-01-09
"miles Off-road Diesel B0","9318,00",2015-01-10
"miles Off-road Diesel B0","9318,00",2015-01-11
"miles Off-road Diesel B0","9318,00",2015-01-12
"miles Off-road Diesel B0","9268,00",2015-01-13
"miles Off-road Diesel B0","9218,00",2015-01-14
"miles Off-road Diesel B0","9178,00",2015-01-15
"miles Off-road Diesel B0","9218,00",2015-01-16
"miles Off-road Diesel B0","9238,00",2015-01-17
"miles Off-road Diesel B0","9238,00",2015-01-18
"miles Off-road Diesel B0","9238,00",2015-01-19
"miles Off-road Diesel B0","9318,00",2015-01-20
"miles Off-road Diesel B0","9318,00",2015-01-21
"miles Off-road Diesel B0","9318,00",2015-01-22
"miles Off-road Diesel B0","9278,00",2015-01-23
"miles Off-road Diesel B0","9318,00",2015-01-24
"miles Off-road Diesel B0","9318,00",2015-01-25
"miles Off-road Diesel B0","9318,00",2015-01-26
"miles Off-road Diesel B0","9418,00",2015-01-27
"miles Off-road Diesel B0","9418,00",2015-01-28
"miles Off-road Diesel B0","9378,00",2015-01-29
"miles Off-road Diesel B0","9378,00",2015-01-30
"miles Off-road Diesel B0","9378,00",2015-01-31
"miles Off-road Diesel B0","9378,00",2015-02-01
"miles Off-road Diesel B0","9378,00",2015-02-02
"miles Off-road Diesel B0","9418,00",2015-02-03
"miles Off-road Diesel B0","9618,00",2015-02-04
"miles Off-road Diesel B0","9718,00",2015-02-05
"miles Off-road Diesel B0","9718,00",2015-02-06
"miles Off-road Diesel B0","9768,00",2015-02-07
"miles Off-road Diesel B0","9768,00",2015-02-08
"miles Off-road Diesel B0","9768,00",2015-02-09
"miles Off-road Diesel B0","9788,00",2015-02-10
"miles Off-road Diesel B0","9958,00",2015-02-11
"miles Off-road Diesel B0","9858,00",2015-02-12
"miles Off-road Diesel B0","9808,00",2015-02-13
"miles Off-road Diesel B0","9938,00",2015-02-14
"miles Off-road Diesel B0","9938,00",2015-02-15
"miles Off-road Diesel B0","9938,00",2015-02-16
"miles Off-road Diesel B0","10088,00",2015-02-17
"miles Off-road Diesel B0","10088,00",2015-02-18
"miles Off-road Diesel B0","10018,00",2015-02-19
"miles Off-road Diesel B0","10018,00",2015-02-20
"miles Off-road Diesel B0","9988,00",2015-02-21
"miles Off-road Diesel B0","9988,00",2015-02-22
"miles Off-road Diesel B0","9988,00",2015-02-23
"miles Off-road Diesel B0","10118,00",2015-02-24
"miles Off-road Diesel B0","10078,00",2015-02-25
"miles Off-road Diesel B0","10078,00",2015-02-26
"miles Off-road Diesel B0","10078,00",2015-02-27
"miles Off-road Diesel B0","10118,00",2015-02-28
"miles Off-road Diesel B0","10118,00",2015-03-01
"miles Off-road Diesel B0","10118,00",2015-03-02
"miles Off-road Diesel B0","10168,00",2015-03-03
"miles Off-road Diesel B0","10118,00",2015-03-04
"miles Off-road Diesel B0","10118,00",2015-03-05
"miles Off-road Diesel B0","10078,00",2015-03-06
"miles Off-road Diesel B0","10118,00",2015-03-07
"miles Off-road Diesel B0","10118,00",2015-03-08
"miles Off-road Diesel B0","10118,00",2015-03-09
"miles Off-road Diesel B0","10168,00",2015-03-10
"miles Off-road Diesel B0","10168,00",2015-03-11
"miles Off-road Diesel B0","10118,00",2015-03-12
"miles Off-road Diesel B0","10118,00",2015-03-13
"miles Off-road Diesel B0","10078,00",2015-03-14
"miles Off-road Diesel B0","10078,00",2015-03-15
"miles Off-road Diesel B0","10078,00",2015-03-16
"miles Off-road Diesel B0","10018,00",2015-03-17
"miles Off-road Diesel B0","9918,00",2015-03-18
"miles Off-road Diesel B0","9878,00",2015-03-19
"miles Off-road Diesel B0","9978,00",2015-03-20
"miles Off-road Diesel B0","9918,00",2015-03-21
"miles Off-road Diesel B0","9918,00",2015-03-22
"miles Off-road Diesel B0","9918,00",2015-03-23
"miles Off-road Diesel B0","9918,00",2015-03-24
"miles Off-road Diesel B0","9918,00",2015-03-25
"miles Off-road Diesel B0","9878,00",2015-03-26
"miles Off-road Diesel B0","9918,00",2015-03-27
"miles Off-road Diesel B0","10018,00",2015-03-28
"miles Off-road Diesel B0","10018,00",2015-03-29
"miles Off-road Diesel B0","10018,00",2015-03-30
"miles Off-road Diesel B0","10018,00",2015-03-31
"miles Off-road Diesel B0","9918,00",2015-04-01
"miles Off-road Diesel B0","9918,00",2015-04-02
"miles Off-road Diesel B0","9918,00",2015-04-03
"miles Off-road Diesel B0","9818,00",2015-04-04
"miles Off-road Diesel B0","9818,00",2015-04-05
"miles Off-road Diesel B0","9818,00",2015-04-06
"miles Off-road Diesel B0","9818,00",2015-04-07
"miles Off-road Diesel B0","9818,00",2015-04-08
"miles Off-road Diesel B0","9818,00",2015-04-09
"miles Off-road Diesel B0","9818,00",2015-04-10
"miles Off-road Diesel B0","9818,00",2015-04-11
"miles Off-road Diesel B0","9818,00",2015-04-12
"miles Off-road Diesel B0","9818,00",2015-04-13
"miles Off-road Diesel B0","10018,00",2015-04-14
"miles Off-road Diesel B0","10078,00",2015-04-15
"miles Off-road Diesel B0","10118,00",2015-04-16
"miles Off-road Diesel B0","10178,00",2015-04-17
"miles Off-road Diesel B0","10218,00",2015-04-18
"miles Off-road Diesel B0","10218,00",2015-04-19
"miles Off-road Diesel B0","10218,00",2015-04-20
"miles Off-road Diesel B0","10178,00",2015-04-21
"miles Off-road Diesel B0","10218,00",2015-04-22
"miles Off-road Diesel B0","10178,00",2015-04-23
"miles Off-road Diesel B0","10158,00",2015-04-24
"miles Off-road Diesel B0","10298,00",2015-04-25
"miles Off-road Diesel B0","10298,00",2015-04-26
"miles Off-road Diesel B0","10298,00",2015-04-27
"miles Off-road Diesel B0","10298,00",2015-04-28
"miles Off-road Diesel B0","10218,00",2015-04-29
"miles Off-road Diesel B0","10218,00",2015-04-30
"miles Off-road Diesel B0","10268,00",2015-05-01
"miles Off-road Diesel B0","10168,00",2015-05-02
"miles Off-road Diesel B0","10168,00",2015-05-03
"miles Off-road Diesel B0","10168,00",2015-05-04
"miles Off-road Diesel B0","10168,00",2015-05-05
"miles Off-road Diesel B0","10218,00",2015-05-06
"miles Off-road Diesel B0","10378,00",2015-05-07
"miles Off-road Diesel B0","10318,00",2015-05-08
"miles Off-road Diesel B0","10218,00",2015-05-09
"miles Off-road Diesel B0","10218,00",2015-05-10
"miles Off-road Diesel B0","10218,00",2015-05-11
"miles Off-road Diesel B0","10178,00",2015-05-12
"miles Off-road Diesel B0","10178,00",2015-05-13
"miles Off-road Diesel B0","10278,00",2015-05-14
"miles Off-road Diesel B0","10278,00",2015-05-15
"miles Off-road Diesel B0","10318,00",2015-05-16
"miles Off-road Diesel B0","10318,00",2015-05-17
"miles Off-road Diesel B0","10318,00",2015-05-18
"miles Off-road Diesel B0","10278,00",2015-05-19
"miles Off-road Diesel B0","10218,00",2015-05-20
"miles Off-road Diesel B0","10178,00",2015-05-21
"miles Off-road Diesel B0","10178,00",2015-05-22
"miles Off-road Diesel B0","10318,00",2015-05-23
"miles Off-road Diesel B0","10318,00",2015-05-24
"miles Off-road Diesel B0","10318,00",2015-05-25
"miles Off-road Diesel B0","10318,00",2015-05-26
"miles Off-road Diesel B0","10218,00",2015-05-27
"miles Off-road Diesel B0","10178,00",2015-05-28
"miles Off-road Diesel B0","10148,00",2015-05-29
"miles Off-road Diesel B0","10118,00",2015-05-30
"miles Off-road Diesel B0","10118,00",2015-05-31
"miles Off-road Diesel B0","10118,00",2015-06-01
"miles Off-road Diesel B0","10238,00",2015-06-02
"miles Off-road Diesel B0","10238,00",2015-06-03
"miles Off-road Diesel B0","10238,00",2015-06-04
"miles Off-road Diesel B0","10018,00",2015-06-06
"miles Off-road Diesel B0","10018,00",2015-06-08
"miles Off-road Diesel B0","9978,00",2015-06-09
"miles Off-road Diesel B0","10018,00",2015-06-10
"miles Off-road Diesel B0","10118,00",2015-06-11
"miles Off-road Diesel B0","10178,00",2015-06-12
"miles Off-road Diesel B0","10178,00",2015-06-13
"miles Off-road Diesel B0","10178,00",2015-06-14
"miles Off-road Diesel B0","10178,00",2015-06-15
"miles Off-road Diesel B0","10118,00",2015-06-16
"miles Off-road Diesel B0","10078,00",2015-06-17
"miles Off-road Diesel B0","10078,00",2015-06-18
"miles Off-road Diesel B0","10118,00",2015-06-19
"miles Off-road Diesel B0","10078,00",2015-06-20
"miles Off-road Diesel B0","10078,00",2015-06-21
"miles Off-road Diesel B0","10078,00",2015-06-22
"miles Off-road Diesel B0","10018,00",2015-06-23
"miles Off-road Diesel B0","9978,00",2015-06-24
"miles Off-road Diesel B0","10118,00",2015-06-25
"miles Off-road Diesel B0","10118,00",2015-06-26
"miles Off-road Diesel B0","10078,00",2015-06-27
"miles Off-road Diesel B0","10078,00",2015-06-28
"miles Off-road Diesel B0","10078,00",2015-06-29
"miles Off-road Diesel B0","10218,00",2015-06-30
"miles Off-road Diesel B0","10178,00",2015-07-01
"miles Off-road Diesel B0","10218,00",2015-07-02
"miles Off-road Diesel B0","10218,00",2015-07-03
"miles Off-road Diesel B0","10218,00",2015-07-04
"miles Off-road Diesel B0","10218,00",2015-07-05
"miles Off-road Diesel B0","10218,00",2015-07-06
"miles Off-road Diesel B0","10078,00",2015-07-07
"miles Off-road Diesel B0","9978,00",2015-07-08
"miles Off-road Diesel B0","9878,00",2015-07-09
"miles Off-road Diesel B0","9878,00",2015-07-10
"miles Off-road Diesel B0","9978,00",2015-07-11
"miles Off-road Diesel B0","9978,00",2015-07-12
"miles Off-road Diesel B0","9978,00",2015-07-13
"miles Off-road Diesel B0","9808,00",2015-07-14
"miles Off-road Diesel B0","9878,00",2015-07-15
"miles Off-road Diesel B0","9818,00",2015-07-16
"miles Off-road Diesel B0","9798,00",2015-07-17
"miles Off-road Diesel B0","9818,00",2015-07-18
"miles Off-road Diesel B0","9818,00",2015-07-19
"miles Off-road Diesel B0","9818,00",2015-07-20
"miles Off-road Diesel B0","9818,00",2015-07-22
"miles Off-road Diesel B0","9818,00",2015-07-23
"miles Off-road Diesel B0","9818,00",2015-07-25
"miles Off-road Diesel B0","9818,00",2015-07-27
"miles Off-road Diesel B0","9748,00",2015-07-28
"miles Off-road Diesel B0","9648,00",2015-07-29
"miles Off-road Diesel B0","9718,00",2015-07-30
"miles Off-road Diesel B0","9688,00",2015-07-31
"miles Off-road Diesel B0","9718,00",2015-08-01
"miles Off-road Diesel B0","9718,00",2015-08-02
"miles Off-road Diesel B0","9718,00",2015-08-03
"miles Off-road Diesel B0","9618,00",2015-08-04
"miles Off-road Diesel B0","9518,00",2015-08-05
"miles Off-road Diesel B0","9518,00",2015-08-06
"miles Off-road Diesel B0","9558,00",2015-08-07
"miles Off-road Diesel B0","9458,00",2015-08-08
"miles Off-road Diesel B0","9458,00",2015-08-09
"miles Off-road Diesel B0","9458,00",2015-08-10
"miles Off-road Diesel B0","9458,00",2015-08-11
"miles Off-road Diesel B0","9558,00",2015-08-12
"miles Off-road Diesel B0","9518,00",2015-08-13
"miles Off-road Diesel B0","9448,00",2015-08-14
"miles Off-road Diesel B0","9498,00",2015-08-15
"miles Off-road Diesel B0","9498,00",2015-08-16
"miles Off-road Diesel B0","9498,00",2015-08-17
"miles Off-road Diesel B0","9418,00",2015-08-19
"miles Off-road Diesel B0","9418,00",2015-08-20
"miles Off-road Diesel B0","9378,00",2015-08-21
"miles Off-road Diesel B0","9378,00",2015-08-22
"miles Off-road Diesel B0","9378,00",2015-08-23
"miles Off-road Diesel B0","9378,00",2015-08-24
"miles Off-road Diesel B0","9218,00",2015-08-25
"miles Off-road Diesel B0","9118,00",2015-08-26
"miles Off-road Diesel B0","9118,00",2015-08-27
"miles Off-road Diesel B0","9068,00",2015-08-28
"miles Off-road Diesel B0","9218,00",2015-08-29
"miles Off-road Diesel B0","9318,00",2015-08-30
"miles Off-road Diesel B0","9318,00",2015-08-31
"miles Off-road Diesel B0","9418,00",2015-09-01
"miles Off-road Diesel B0","9478,00",2015-09-02
"miles Off-road Diesel B0","9478,00",2015-09-03
"miles Off-road Diesel B0","9358,00",2015-09-04
"miles Off-road Diesel B0","9458,00",2015-09-05
"miles Off-road Diesel B0","9558,00",2015-09-06
"miles Off-road Diesel B0","9558,00",2015-09-07
"miles Off-road Diesel B0","9518,00",2015-09-08
"miles Off-road Diesel B0","9418,00",2015-09-09
"miles Off-road Diesel B0","9418,00",2015-09-10
"miles Off-road Diesel B0","9418,00",2015-09-11
"miles Off-road Diesel B0","9468,00",2015-09-13
"miles Off-road Diesel B0","9468,00",2015-09-14
"miles Off-road Diesel B0","9368,00",2015-09-15
"miles Off-road Diesel B0","9318,00",2015-09-16
"miles Off-road Diesel B0","9218,00",2015-09-17
"miles Off-road Diesel B0","9418,00",2015-09-18
"miles Off-road Diesel B0","9368,00",2015-09-19
"miles Off-road Diesel B0","9368,00",2015-09-20
"miles Off-road Diesel B0","9368,00",2015-09-21
"miles Off-road Diesel B0","9268,00",2015-09-22
"miles Off-road Diesel B0","9318,00",2015-09-23
"miles Off-road Diesel B0","9318,00",2015-09-24
"miles Off-road Diesel B0","9418,00",2015-09-26
"miles Off-road Diesel B0","9418,00",2015-09-27
"miles Off-road Diesel B0","9418,00",2015-09-28
"miles Off-road Diesel B0","9418,00",2015-09-29
"miles Off-road Diesel B0","9318,00",2015-09-30
"miles Off-road Diesel B0","9418,00",2015-10-01
"miles Off-road Diesel B0","9418,00",2015-10-02
"miles Off-road Diesel B0","9418,00",2015-10-03
"miles Off-road Diesel B0","9418,00",2015-10-04
"miles Off-road Diesel B0","9418,00",2015-10-05
"miles Off-road Diesel B0","9278,00",2015-10-06
"miles Off-road Diesel B0","9418,00",2015-10-07
"miles Off-road Diesel B0","9518,00",2015-10-08
"miles Off-road Diesel B0","9518,00",2015-10-09
"miles Off-road Diesel B0","9518,00",2015-10-10
"miles Off-road Diesel B0","9518,00",2015-10-11
"miles Off-road Diesel B0","9518,00",2015-10-12
"miles Off-road Diesel B0","9518,00",2015-10-13
"miles Off-road Diesel B0","9468,00",2015-10-14
"miles Off-road Diesel B0","9418,00",2015-10-15
"miles Off-road Diesel B0","9368,00",2015-10-16
"miles Off-road Diesel B0","9368,00",2015-10-17
"miles Off-road Diesel B0","9368,00",2015-10-18
"miles Off-road Diesel B0","9368,00",2015-10-19
"miles Off-road Diesel B0","9218,00",2015-10-20
"miles Off-road Diesel B0","9148,00",2015-10-21
"miles Off-road Diesel B0","9118,00",2015-10-22
"miles Off-road Diesel B0","9148,00",2015-10-23
"miles Off-road Diesel B0","9168,00",2015-10-24
"miles Off-road Diesel B0","9168,00",2015-10-25
"miles Off-road Diesel B0","9168,00",2015-10-26
"miles Off-road Diesel B0","9268,00",2015-10-27
"miles Off-road Diesel B0","9268,00",2015-10-28
"miles Off-road Diesel B0","9158,00",2015-10-29
"miles Off-road Diesel B0","9318,00",2015-10-30
"miles Off-road Diesel B0","9418,00",2015-10-31
"miles Off-road Diesel B0","9418,00",2015-11-01
"miles Off-road Diesel B0","9418,00",2015-11-02
"miles Off-road Diesel B0","9358,00",2015-11-03
"miles Off-road Diesel B0","9318,00",2015-11-04
"miles Off-road Diesel B0","9418,00",2015-11-05
"miles Off-road Diesel B0","9418,00",2015-11-06
"miles Off-road Diesel B0","9418,00",2015-11-07
"miles Off-road Diesel B0","9418,00",2015-11-08
"miles Off-road Diesel B0","9418,00",2015-11-09
"miles Off-road Diesel B0","9418,00",2015-11-10
"miles Off-road Diesel B0","9418,00",2015-11-11
"miles Off-road Diesel B0","9418,00",2015-11-12
"miles Off-road Diesel B0","9368,00",2015-11-13
"miles Off-road Diesel B0","9318,00",2015-11-14
"miles Off-road Diesel B0","9318,00",2015-11-15
"miles Off-road Diesel B0","9318,00",2015-11-16
"miles Off-road Diesel B0","9218,00",2015-11-17
"miles Off-road Diesel B0","9218,00",2015-11-18
"miles Off-road Diesel B0","9218,00",2015-11-19
"miles Off-road Diesel B0","9218,00",2015-11-20
"miles Off-road Diesel B0","9318,00",2015-11-21
"miles Off-road Diesel B0","9318,00",2015-11-22
"miles Off-road Diesel B0","9318,00",2015-11-23
