Product,"Price gross",Date
Diesel,"7,99",2020-05-19
Diesel,"7,89",2020-05-20
Diesel,"7,89",2020-05-22
Diesel,"7,79",2020-05-25
Diesel,"7,89",2020-05-26
Diesel,"7,79",2020-05-29
Diesel,"7,89",2020-06-02
Diesel,"8,09",2020-06-03
Diesel,"8,19",2020-06-08
Diesel,"8,09",2020-06-12
Diesel,"8,19",2020-06-16
Diesel,"8,29",2020-06-17
Diesel,"8,39",2020-06-22
Diesel,"8,29",2020-06-25
Diesel,"8,39",2020-07-01
Diesel,"8,49",2020-07-07
Diesel,"8,38",2020-07-15
Diesel,"8,59",2020-07-22
Diesel,"8,49",2020-07-24
Diesel,"8,39",2020-07-28
Diesel,"8,49",2020-07-30
Diesel,"8,39",2020-07-31
Diesel,"8,49",2020-08-06
Diesel,"8,39",2020-08-10
Diesel,"8,29",2020-08-24
Diesel,"8,39",2020-08-26
Diesel,"8,29",2020-08-31
Diesel,"8,09",2020-09-04
Diesel,"7,99",2020-09-11
Diesel,"8,19",2020-09-18
Diesel,"7,99",2020-09-22
Diesel,"8,09",2020-09-28
Diesel,"7,99",2020-10-05
Diesel,"8,09",2020-10-06
Diesel,"8,19",2020-10-07
Diesel,"8,29",2020-10-12
Diesel,"8,19",2020-10-13
Diesel,"8,09",2020-10-22
Diesel,"8,19",2020-10-23
Diesel,"8,09",2020-10-27
Diesel,"7,99",2020-10-30
Diesel,"8,09",2020-11-04
Diesel,"8,19",2020-11-05
Diesel,"8,09",2020-11-09
Diesel,"8,19",2020-11-10
Diesel,"8,29",2020-11-11
Diesel,"8,39",2020-11-12
Diesel,"8,29",2020-11-16
Diesel,"8,39",2020-11-19
Diesel,"8,59",2020-11-25
Diesel,"8,49",2020-12-01
Diesel,"8,59",2020-12-04
Diesel,"8,49",2020-12-10
Diesel,"8,69",2020-12-11
Diesel,"8,59",2020-12-15
Diesel,"8,69",2020-12-16
Diesel,"8,79",2020-12-21
Diesel,"8,69",2020-12-22
Diesel,"8,73",2021-01-01
Diesel,"8,69",2021-01-04
Diesel,"8,79",2021-01-06
Diesel,"8,89",2021-01-11
Diesel,"8,99",2021-01-14
Diesel,"8,89",2021-01-25
Diesel,"8,99",2021-01-28
Diesel,"9,09",2021-02-03
Diesel,"9,19",2021-02-04
Diesel,"9,29",2021-02-08
Diesel,"9,39",2021-02-16
Diesel,"9,49",2021-02-18
Diesel,"9,59",2021-02-25
Diesel,"9,49",2021-03-03
Diesel,"9,69",2021-03-08
Diesel,"9,59",2021-03-11
Diesel,"9,69",2021-03-12
